id,organization_id,google_app_id,name,category,risk_level,management_status,total_permissions,created_at,updated_at,all_scopes,microsoft_app_id,category_status,provider,user_count,owner_email,notes
0404a525-486d-4b54-ab20-857de191a630,359d186d-9632-41ec-b95d-60f1182bb71a,,Microsoft Tech Community,Productivity & Collaboration,MEDIUM,NEEDS_REVIEW,5,2025-05-22 00:14:49.407137+00,2025-05-22 00:14:51.926+00,"[""User.Read"",""openid"",""email"",""profile"",""offline_access""]",09213cdc-9f30-4e82-aa6f-9b6e8d82dab3,UNCATEGORIZED,google,1,,
09e42f06-c923-4c43-b7ba-49f5269fd255,359d186d-9632-41ec-b95d-60f1182bb71a,,HEW-M01 M-Files User Sync,Identity & Access Management,MEDIUM,NEEDS_REVIEW,1,2025-05-22 00:16:08.47544+00,2025-05-22 00:16:10.034+00,"[""User.Read""]",c8ccf807-8c5f-4a56-bbf1-54064ebca32e,UNCATEGORIZED,google,1,,
0dbcf46b-dc80-42ac-8a4e-928366c5ac83,359d186d-9632-41ec-b95d-60f1182bb71a,,airSlate-pdfFiller-signNow App,Productivity & Collaboration,MEDIUM,NEEDS_REVIEW,1,2025-05-22 00:16:24.404467+00,2025-05-22 00:16:25.92+00,"[""User.Read""]",b07597eb-4235-498f-8095-7c51ef7cff4b,UNCATEGORIZED,google,1,,
10a9e412-e925-46b1-8f62-29e79d7d7c02,359d186d-9632-41ec-b95d-60f1182bb71a,,Redmap,Identity & Access Management,MEDIUM,NEEDS_REVIEW,1,2025-05-22 00:15:28.70296+00,2025-05-22 00:15:29.59+00,"[""User.Read""]",03c5f796-3b7f-48c0-80c0-19a7432c9b0e,UNCATEGORIZED,google,2,,
1619b7b6-5ec9-41d1-85f9-c3a5c01d7ea9,359d186d-9632-41ec-b95d-60f1182bb71a,,Zoom,Productivity & Collaboration,HIGH,Managed,7,2025-05-22 00:14:18.933944+00,2025-05-22 00:14:20.638+00,"[""Chat.Read"",""Calendars.ReadWrite.Shared"",""User.Read"",""User.ReadBasic.All"",""User.Read.All"",""Calendars.Read"",""Contacts.Read""]",23962431-1240-420c-8472-a8111e98ca6f,UNCATEGORIZED,google,2,,
17053a17-3bfc-4b53-90a6-55e2ff7138bd,359d186d-9632-41ec-b95d-60f1182bb71a,,Zoom,Productivity & Collaboration,HIGH,Managed,8,2025-05-22 00:14:21.388078+00,2025-05-22 00:14:27.809+00,"[""offline_access"",""openid"",""Calendars.Read"",""Contacts.Read"",""Calendars.ReadWrite"",""Contacts.ReadWrite"",""Calendars.ReadWrite.Shared"",""Presence.ReadWrite""]",fc108d3f-543d-4374-bbff-c7c51f651fe5,UNCATEGORIZED,google,9,,
19bde282-aa50-4766-8390-3f2da3ebff5b,359d186d-9632-41ec-b95d-60f1182bb71a,,Spark,Productivity & Collaboration,HIGH,NEEDS_REVIEW,6,2025-05-22 00:15:41.910026+00,2025-05-22 00:15:44.37+00,"[""offline_access"",""openid"",""email"",""profile"",""EWS.AccessAsUser.All"",""Calendars.ReadWrite""]",b50c1dbd-1855-4e54-b07c-d3c3029e93d3,UNCATEGORIZED,google,1,,
1ce52d41-eae7-4f74-9b75-5897e4ddb670,359d186d-9632-41ec-b95d-60f1182bb71a,,Clean Email,Productivity & Collaboration,HIGH,NEEDS_REVIEW,7,2025-05-22 00:15:42.661305+00,2025-05-22 00:15:44.238+00,"[""openid"",""profile"",""offline_access"",""User.Read"",""Mail.Read"",""Mail.ReadWrite"",""Mail.Send""]",0341cba0-f723-41d4-9b56-156d4336a2e6,UNCATEGORIZED,google,1,,
1e6d87fe-ce65-4a1f-9ff4-378364f9b299,359d186d-9632-41ec-b95d-60f1182bb71a,,PDFSimpli,Productivity & Collaboration,HIGH,NEEDS_REVIEW,4,2025-05-22 00:15:59.00607+00,2025-05-22 00:16:02.187+00,"[""profile"",""openid"",""User.Read"",""Files.ReadWrite.All""]",84c28341-5861-499b-a984-12f46424fbf5,UNCATEGORIZED,google,1,,
24b2962a-07c8-4b9c-a396-f698b9a51831,359d186d-9632-41ec-b95d-60f1182bb71a,,Adobe Acrobat,Design & Creative Tools,HIGH,NEEDS_REVIEW,3,2025-05-22 00:15:52.184157+00,2025-05-22 00:15:53.056+00,"[""User.Read"",""MyFiles.Write"",""Directory.AccessAsUser.All""]",4e9b8b9a-1001-4017-8dd1-6e8f25e19d13,UNCATEGORIZED,google,2,,
28fd2b9d-1e47-402a-bef5-027d333aa9d2,359d186d-9632-41ec-b95d-60f1182bb71a,,Microsoft Photos,Design & Creative Tools,HIGH,NEEDS_REVIEW,3,2025-05-22 00:15:37.876165+00,2025-05-22 00:15:42.407+00,"[""user_impersonation"",""Files.ReadWrite.All"",""User.Read""]",0ec2d138-5a70-4a33-b2c7-7d296c996ace,UNCATEGORIZED,google,5,,
